ts,vx,vy,vz,wx,wy,wz,gripper_btn,mode_btn
1779556817.704010,0.0,-0.0078125,-0.021484375,0.01171875,0.017578125,-0.00390625,0,0
1779556817.720032,0.0,-0.044921875,-0.021484375,0.01171875,0.017578125,-0.00390625,0,0
1779556817.727975,0.0,-0.044921875,-0.021484375,0.02734375,0.017578125,-0.00390625,0,0
1779556817.735976,0.0,-0.1015625,-0.021484375,0.02734375,0.017578125,-0.00390625,0,0
1779556817.743919,0.0,-0.1015625,-0.021484375,0.09765625,0.017578125,-0.00390625,0,0
1779556817.752008,0.0,-0.1484375,-0.021484375,0.09765625,0.017578125,-0.00390625,0,0
1779556817.759981,0.0,-0.1484375,-0.021484375,0.203125,-0.0078125,-0.00390625,0,0
1779556817.768001,0.0,-0.181640625,-0.021484375,0.203125,-0.0078125,-0.00390625,0,0
1779556817.775947,0.0,-0.181640625,-0.021484375,0.275390625,-0.0078125,-0.00390625,0,0
1779556817.783993,0.0,-0.23828125,-0.021484375,0.275390625,-0.0078125,-0.00390625,0,0
1779556817.792004,0.0,-0.23828125,-0.021484375,0.267578125,-0.00390625,-0.017578125,0,0
1779556817.800006,0.0,-0.25390625,-0.021484375,0.267578125,-0.00390625,-0.017578125,0,0
1779556817.808014,0.0,-0.25390625,-0.021484375,0.1875,-0.013671875,-0.015625,0,0
1779556817.815968,-0.0546875,-0.28125,-0.056640625,0.1875,-0.013671875,-0.015625,0,0
1779556817.823910,-0.0546875,-0.28125,-0.056640625,0.0625,-0.01171875,-0.021484375,0,0
1779556817.832010,-0.072265625,-0.232421875,-0.037109375,0.0625,-0.01171875,-0.021484375,0,0
1779556817.839950,-0.072265625,-0.232421875,-0.037109375,0.01171875,-0.01171875,-0.05078125,0,0
1779556817.847937,-0.078125,-0.197265625,-0.037109375,0.01171875,-0.01171875,-0.05078125,0,0
1779556817.855974,-0.078125,-0.197265625,-0.037109375,0.01171875,-0.01171875,-0.09375,0,0
1779556817.863918,-0.103515625,-0.205078125,-0.01171875,0.01171875,-0.01171875,-0.09375,0,0
1779556817.871927,-0.103515625,-0.205078125,-0.01171875,0.01171875,-0.01171875,-0.142578125,0,0
1779556817.879906,-0.126953125,-0.251953125,-0.0546875,0.01171875,-0.01171875,-0.142578125,0,0
