ts,vx,vy,vz,wx,wy,wz,gripper_btn,mode_btn
1779558282.886764,0.06640625,0.0078125,-0.046875,-0.021484375,0.013671875,-0.01171875,0,0
1779558282.894747,0.06640625,0.0078125,-0.046875,-0.021484375,-0.03515625,-0.01171875,0,0
1779558282.902785,-0.01171875,-0.017578125,-0.041015625,-0.021484375,-0.03515625,-0.01171875,0,0
1779558282.910782,-0.01171875,-0.017578125,-0.041015625,-0.0078125,-0.0234375,-0.01171875,0,0
1779558282.918773,-0.01171875,-0.08984375,-0.041015625,-0.0078125,-0.0234375,-0.01171875,0,0
1779558282.926761,-0.01171875,-0.08984375,-0.041015625,-0.0078125,-0.037109375,-0.01171875,0,0
1779558282.934772,0.015625,-0.12890625,-0.041015625,-0.0078125,-0.037109375,-0.01171875,0,0
1779558282.942778,0.015625,-0.12890625,-0.041015625,-0.0078125,-0.0078125,-0.013671875,0,0
1779558282.950777,0.05078125,-0.09765625,-0.041015625,-0.0078125,-0.0078125,-0.013671875,0,0
1779558282.958739,0.05078125,-0.09765625,-0.041015625,-0.0078125,-0.037109375,-0.07421875,0,0
1779558282.966757,0.09375,-0.083984375,-0.041015625,-0.0078125,-0.037109375,-0.07421875,0,0
1779558282.974757,0.09375,-0.083984375,-0.041015625,-0.0546875,-0.05859375,-0.1015625,0,0
1779558282.982805,0.193359375,-0.12890625,-0.041015625,-0.0546875,-0.05859375,-0.1015625,0,0
1779558282.990739,0.193359375,-0.12890625,-0.041015625,-0.0859375,-0.080078125,-0.12890625,0,0
1779558282.998754,0.228515625,-0.181640625,-0.041015625,-0.0859375,-0.080078125,-0.12890625,0,0
1779558283.006711,0.228515625,-0.181640625,-0.041015625,-0.09765625,-0.1015625,-0.12890625,0,0
1779558283.014742,0.212890625,-0.181640625,-0.041015625,-0.09765625,-0.1015625,-0.12890625,0,0
1779558283.022782,0.212890625,-0.181640625,-0.041015625,-0.115234375,-0.123046875,-0.130859375,0,0
1779558283.030740,0.162109375,-0.169921875,-0.041015625,-0.115234375,-0.123046875,-0.130859375,0,0
1779558283.038756,0.162109375,-0.169921875,-0.041015625,-0.1484375,-0.142578125,-0.150390625,0,0
1779558283.046791,0.125,-0.1640625,-0.041015625,-0.1484375,-0.142578125,-0.150390625,0,0
1779558283.054764,0.125,-0.1640625,-0.041015625,-0.185546875,-0.1328125,-0.193359375,0,0
1779558283.062773,0.115234375,-0.18359375,-0.041015625,-0.185546875,-0.1328125,-0.193359375,0,0
1779558283.070761,0.115234375,-0.18359375,-0.041015625,-0.212890625,-0.095703125,-0.263671875,0,0
1779558283.078800,0.138671875,-0.22265625,-0.041015625,-0.212890625,-0.095703125,-0.263671875,0,0
