ts,vx,vy,vz,wx,wy,wz,gripper_btn,mode_btn
1779558886.838298,0.0234375,-0.076171875,-0.02734375,0.017578125,-0.0078125,-0.029296875,0,0
1779558886.846376,0.0234375,-0.076171875,-0.02734375,-0.078125,-0.0078125,-0.029296875,0,0
1779558886.854349,0.16015625,-0.166015625,-0.064453125,-0.078125,-0.0078125,-0.029296875,0,0
1779558886.862339,0.16015625,-0.166015625,-0.064453125,-0.078125,-0.0078125,-0.037109375,0,0
1779558886.870338,0.255859375,-0.23828125,-0.0234375,-0.078125,-0.0078125,-0.037109375,0,0
1779558886.878297,0.255859375,-0.23828125,-0.0234375,-0.142578125,-0.05859375,-0.2890625,0,0
1779558886.886287,0.26953125,-0.173828125,-0.0234375,-0.142578125,-0.05859375,-0.2890625,0,0
1779558886.894384,0.26953125,-0.173828125,-0.0234375,-0.22265625,-0.013671875,-0.3828125,0,0
1779558886.902394,0.2265625,-0.138671875,0.0078125,-0.22265625,-0.013671875,-0.3828125,0,0
1779558886.910333,0.2265625,-0.138671875,0.0078125,-0.263671875,-0.0390625,-0.40625,0,0
1779558886.918359,0.18359375,-0.10546875,0.021484375,-0.263671875,-0.0390625,-0.40625,0,0
1779558886.926385,0.18359375,-0.10546875,0.021484375,-0.296875,-0.080078125,-0.423828125,0,0
1779558886.934361,0.18359375,-0.095703125,0.046875,-0.296875,-0.080078125,-0.423828125,0,0
1779558886.942372,0.18359375,-0.095703125,0.046875,-0.322265625,-0.08984375,-0.41796875,0,0
1779558886.950360,0.1953125,-0.123046875,0.05859375,-0.322265625,-0.08984375,-0.41796875,0,0
1779558886.958358,0.1953125,-0.123046875,0.05859375,-0.3125,-0.095703125,-0.392578125,0,0
1779558886.966337,0.193359375,-0.171875,0.03125,-0.3125,-0.095703125,-0.392578125,0,0
1779558886.974339,0.193359375,-0.171875,0.03125,-0.2578125,-0.11328125,-0.373046875,0,0
1779558886.982359,0.189453125,-0.21484375,0.0078125,-0.2578125,-0.11328125,-0.373046875,0,0
1779558886.990364,0.189453125,-0.21484375,0.0078125,-0.1953125,-0.123046875,-0.359375,0,0
1779558886.998338,0.181640625,-0.236328125,0.01953125,-0.1953125,-0.123046875,-0.359375,0,0
1779558887.006415,0.181640625,-0.236328125,0.01953125,-0.15625,-0.109375,-0.35546875,0,0
1779558887.014431,0.177734375,-0.232421875,0.041015625,-0.15625,-0.109375,-0.35546875,0,0
1779558887.022352,0.177734375,-0.232421875,0.041015625,-0.13671875,-0.083984375,-0.365234375,0,0
1779558887.030396,0.181640625,-0.2421875,0.052734375,-0.13671875,-0.083984375,-0.365234375,0,0
1779558887.038411,0.181640625,-0.2421875,0.052734375,-0.0859375,-0.060546875,-0.375,0,0
1779558887.046359,0.173828125,-0.240234375,0.0546875,-0.0859375,-0.060546875,-0.375,0,0
1779558887.054350,0.173828125,-0.240234375,0.0546875,-0.01171875,-0.033203125,-0.400390625,0,0
1779558887.062332,0.181640625,-0.25,0.060546875,-0.01171875,-0.033203125,-0.400390625,0,0
1779558887.070368,0.181640625,-0.25,0.060546875,-0.01171875,-0.009765625,-0.404296875,0,0
1779558887.078387,0.203125,-0.2578125,0.060546875,-0.01171875,-0.009765625,-0.404296875,0,0
1779558887.086415,0.203125,-0.2578125,0.060546875,-0.01171875,-0.005859375,-0.392578125,0,0
1779558887.094377,0.224609375,-0.255859375,0.037109375,-0.01171875,-0.005859375,-0.392578125,0,0
1779558887.102395,0.224609375,-0.255859375,0.037109375,-0.01171875,-0.0234375,-0.388671875,0,0
