ts,vx,vy,vz,wx,wy,wz,gripper_btn,mode_btn
1779558134.942636,0.01953125,-0.025390625,-0.0234375,-0.0078125,-0.01171875,0.0,0,0
1779558134.950643,0.01953125,-0.025390625,-0.00390625,-0.0078125,-0.01171875,0.0,0,0
1779558134.958716,0.01953125,-0.025390625,-0.00390625,-0.0234375,-0.01171875,0.0,0,0
1779558134.982605,0.01953125,0.0,-0.00390625,-0.0234375,-0.01171875,0.0,0,0
1779558134.998631,0.01953125,0.0,0.0,-0.0234375,-0.01171875,0.0,0,0
1779558135.006681,0.01953125,0.0,0.0,-0.03515625,-0.01171875,0.0,0,0
1779558135.036589,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779558135.067659,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779558135.098614,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779558135.129562,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779558135.160653,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779558135.174618,0.01953125,0.0,-0.00390625,-0.03515625,-0.01171875,0.0,0,0
1779558135.190596,0.01953125,0.0,-0.0234375,-0.03515625,-0.01171875,0.0,0,0
1779558135.198601,0.01953125,0.0,-0.0234375,-0.02734375,-0.01171875,0.0,0,0
1779558135.206698,0.01953125,-0.029296875,-0.056640625,-0.02734375,-0.01171875,0.0,0,0
1779558135.214627,0.01953125,-0.029296875,-0.056640625,-0.013671875,-0.01171875,0.0,0,0
1779558135.222600,0.01953125,-0.150390625,-0.01953125,-0.013671875,-0.01171875,0.0,0,0
1779558135.238633,0.025390625,-0.283203125,0.00390625,-0.013671875,-0.01171875,0.0,0,0
1779558135.246560,0.025390625,-0.283203125,0.00390625,0.10546875,-0.01171875,0.0,0,0
1779558135.254581,0.076171875,-0.30859375,0.1015625,0.10546875,-0.01171875,0.0,0,0
1779558135.262572,0.076171875,-0.30859375,0.1015625,0.1640625,-0.01171875,0.0,0,0
1779558135.270557,0.080078125,-0.33984375,0.17578125,0.1640625,-0.01171875,0.0,0,0
1779558135.278635,0.080078125,-0.33984375,0.17578125,0.1796875,-0.01171875,-0.0078125,0,0
1779558135.286652,0.0390625,-0.35546875,0.28125,0.1796875,-0.01171875,-0.0078125,0,0
1779558135.294590,0.0390625,-0.35546875,0.28125,0.16796875,-0.01171875,-0.025390625,0,0
1779558135.302588,0.0390625,-0.396484375,0.373046875,0.16796875,-0.01171875,-0.025390625,0,0
1779558135.310649,0.0390625,-0.396484375,0.373046875,0.142578125,-0.01171875,-0.05859375,0,0
1779558135.318608,0.0390625,-0.4609375,0.396484375,0.142578125,-0.01171875,-0.05859375,0,0
1779558135.326641,0.0390625,-0.4609375,0.396484375,0.09375,-0.01171875,-0.09375,0,0
1779558135.334560,0.0390625,-0.484375,0.412109375,0.09375,-0.01171875,-0.09375,0,0
1779558135.342630,0.0390625,-0.484375,0.412109375,0.044921875,-0.01171875,-0.10546875,0,0
1779558135.350625,0.0390625,-0.48828125,0.44921875,0.044921875,-0.01171875,-0.10546875,0,0
1779558135.358610,0.0390625,-0.48828125,0.44921875,0.015625,-0.01171875,-0.10546875,0,0
1779558135.366588,0.0390625,-0.48828125,0.498046875,0.015625,-0.01171875,-0.10546875,0,0
1779558135.374600,0.0390625,-0.48828125,0.498046875,0.015625,-0.01171875,-0.103515625,0,0
1779558135.382576,0.013671875,-0.5078125,0.521484375,0.015625,-0.01171875,-0.103515625,0,0
1779558135.390567,0.013671875,-0.5078125,0.521484375,0.015625,-0.01171875,-0.103515625,0,0
1779558135.398575,0.013671875,-0.541015625,0.525390625,0.015625,-0.01171875,-0.103515625,0,0
1779558135.406651,0.013671875,-0.541015625,0.525390625,0.005859375,-0.01171875,-0.109375,0,0
1779558135.414575,0.0078125,-0.537109375,0.5234375,0.005859375,-0.01171875,-0.109375,0,0
1779558135.422575,0.0078125,-0.537109375,0.5234375,0.0078125,-0.01171875,-0.115234375,0,0
1779558135.430634,0.0078125,-0.529296875,0.521484375,0.0078125,-0.01171875,-0.115234375,0,0
1779558135.438572,0.0078125,-0.529296875,0.521484375,0.0078125,-0.01171875,-0.125,0,0
1779558135.446581,0.0078125,-0.517578125,0.52734375,0.0078125,-0.01171875,-0.125,0,0
1779558135.454588,0.0078125,-0.517578125,0.52734375,0.0078125,-0.01171875,-0.1328125,0,0
1779558135.462615,0.0078125,-0.501953125,0.525390625,0.0078125,-0.01171875,-0.1328125,0,0
1779558135.470580,0.0078125,-0.501953125,0.525390625,0.0078125,-0.01171875,-0.1484375,0,0
1779558135.478600,0.0,-0.482421875,0.517578125,0.0078125,-0.01171875,-0.1484375,0,0
1779558135.486600,0.0,-0.482421875,0.517578125,0.0078125,-0.01171875,-0.1640625,0,0
1779558135.494625,0.015625,-0.466796875,0.5,0.0078125,-0.01171875,-0.1640625,0,0
1779558135.502588,0.015625,-0.466796875,0.5,0.0078125,-0.01171875,-0.1796875,0,0
1779558135.510625,0.029296875,-0.453125,0.482421875,0.0078125,-0.01171875,-0.1796875,0,0
1779558135.518594,0.029296875,-0.453125,0.482421875,0.0078125,-0.01171875,-0.189453125,0,0
1779558135.526595,0.033203125,-0.435546875,0.458984375,0.0078125,-0.01171875,-0.189453125,0,0
1779558135.534620,0.033203125,-0.435546875,0.458984375,0.0078125,-0.01171875,-0.208984375,0,0
1779558135.542562,0.03125,-0.421875,0.435546875,0.0078125,-0.01171875,-0.208984375,0,0
1779558135.550565,0.03125,-0.421875,0.435546875,0.0078125,-0.01171875,-0.228515625,0,0
1779558135.558676,0.025390625,-0.40234375,0.40625,0.0078125,-0.01171875,-0.228515625,0,0
1779558135.566606,0.025390625,-0.40234375,0.40625,0.0078125,-0.013671875,-0.25390625,0,0
1779558135.574633,0.0234375,-0.373046875,0.37890625,0.0078125,-0.013671875,-0.25390625,0,0
1779558135.582625,0.0234375,-0.373046875,0.37890625,0.0078125,-0.025390625,-0.2890625,0,0
1779558135.590611,0.01953125,-0.337890625,0.3671875,0.0078125,-0.025390625,-0.2890625,0,0
1779558135.598618,0.01953125,-0.337890625,0.3671875,0.0078125,-0.025390625,-0.32421875,0,0
1779558135.606668,0.009765625,-0.287109375,0.34765625,0.0078125,-0.025390625,-0.32421875,0,0
1779558135.614607,0.009765625,-0.287109375,0.34765625,0.0078125,-0.03125,-0.37890625,0,0
1779558135.622599,0.0,-0.271484375,0.33203125,0.0078125,-0.03125,-0.37890625,0,0
1779558135.630575,0.0,-0.271484375,0.33203125,0.0078125,-0.044921875,-0.3984375,0,0
1779558135.638592,0.0,-0.25390625,0.314453125,0.0078125,-0.044921875,-0.3984375,0,0
1779558135.646596,0.0,-0.25390625,0.314453125,0.0078125,-0.05859375,-0.41796875,0,0
1779558135.654599,0.0,-0.240234375,0.310546875,0.0078125,-0.05859375,-0.41796875,0,0
1779558135.662564,0.0,-0.240234375,0.310546875,0.0078125,-0.05859375,-0.4375,0,0
1779558135.670554,0.0,-0.21875,0.318359375,0.0078125,-0.05859375,-0.4375,0,0
1779558135.678584,0.0,-0.21875,0.318359375,0.0078125,-0.04296875,-0.458984375,0,0
1779558135.686594,0.0,-0.19140625,0.318359375,0.0078125,-0.04296875,-0.458984375,0,0
1779558135.694571,0.0,-0.19140625,0.318359375,0.0078125,-0.03515625,-0.490234375,0,0
1779558135.702598,0.0,-0.142578125,0.306640625,0.0078125,-0.03515625,-0.490234375,0,0
1779558135.710658,0.0,-0.142578125,0.306640625,0.0078125,-0.03515625,-0.537109375,0,0
1779558135.718568,0.0,-0.103515625,0.296875,0.0078125,-0.03515625,-0.537109375,0,0
1779558135.726593,0.0,-0.103515625,0.296875,0.0078125,-0.04296875,-0.57421875,0,0
1779558135.734526,0.0,-0.091796875,0.291015625,0.0078125,-0.04296875,-0.57421875,0,0
1779558135.742642,0.0,-0.091796875,0.291015625,0.0078125,-0.046875,-0.587890625,0,0
1779558135.750592,0.0,-0.08984375,0.2890625,0.0078125,-0.046875,-0.587890625,0,0
1779558135.758587,0.0,-0.08984375,0.2890625,0.0078125,-0.046875,-0.587890625,0,0
1779558135.766596,0.0,-0.091796875,0.287109375,0.0078125,-0.046875,-0.587890625,0,0
1779558135.774603,0.0,-0.091796875,0.287109375,0.0078125,-0.05078125,-0.5859375,0,0
1779558135.782620,0.0,-0.091796875,0.28515625,0.0078125,-0.05078125,-0.5859375,0,0
1779558135.790589,0.0,-0.091796875,0.28515625,0.0078125,-0.0546875,-0.583984375,0,0
1779558135.798598,0.0,-0.091796875,0.2890625,0.0078125,-0.0546875,-0.583984375,0,0
1779558135.806701,0.0,-0.091796875,0.2890625,0.0078125,-0.048828125,-0.583984375,0,0
1779558135.814588,0.0,-0.087890625,0.29296875,0.0078125,-0.048828125,-0.583984375,0,0
1779558135.822598,0.0,-0.087890625,0.29296875,0.0078125,-0.044921875,-0.58984375,0,0
1779558135.830591,0.0,-0.0859375,0.29296875,0.0078125,-0.044921875,-0.58984375,0,0
1779558135.838656,0.0,-0.0859375,0.29296875,0.0078125,-0.044921875,-0.591796875,0,0
1779558135.846579,0.0,-0.0859375,0.2890625,0.0078125,-0.044921875,-0.591796875,0,0
