ts,vx,vy,vz,wx,wy,wz,gripper_btn,mode_btn
1779559124.541935,-0.04296875,0.0,0.0,0.013671875,-0.05078125,-0.025390625,0,0
1779559124.557990,-0.0078125,-0.015625,-0.01953125,0.013671875,-0.05078125,-0.025390625,0,0
1779559124.566007,-0.0078125,-0.015625,-0.01953125,-0.009765625,-0.05078125,-0.025390625,0,0
1779559124.574000,-0.0078125,-0.0703125,-0.015625,-0.009765625,-0.05078125,-0.025390625,0,0
1779559124.590019,-0.0078125,-0.076171875,-0.015625,-0.009765625,-0.05078125,-0.025390625,0,0
1779559124.598048,-0.0078125,-0.076171875,-0.015625,-0.009765625,-0.01171875,-0.07421875,0,0
1779559124.606009,-0.013671875,-0.103515625,-0.015625,-0.009765625,-0.01171875,-0.07421875,0,0
1779559124.613981,-0.013671875,-0.103515625,-0.015625,0.017578125,-0.01171875,-0.11328125,0,0
1779559124.622025,-0.07421875,-0.130859375,-0.015625,0.017578125,-0.01171875,-0.11328125,0,0
1779559124.630000,-0.07421875,-0.130859375,-0.015625,0.017578125,-0.01171875,-0.154296875,0,0
1779559124.638031,-0.146484375,-0.09765625,-0.015625,0.017578125,-0.01171875,-0.154296875,0,0
1779559124.646034,-0.146484375,-0.09765625,-0.015625,-0.033203125,-0.00390625,-0.1875,0,0
1779559124.654025,-0.193359375,-0.05859375,-0.015625,-0.033203125,-0.00390625,-0.1875,0,0
1779559124.661971,-0.193359375,-0.05859375,-0.015625,-0.07421875,-0.0078125,-0.22265625,0,0
1779559124.670020,-0.20703125,-0.1015625,0.005859375,-0.07421875,-0.0078125,-0.22265625,0,0
1779559124.677996,-0.20703125,-0.1015625,0.005859375,-0.044921875,-0.00390625,-0.25,0,0
1779559124.685989,-0.16015625,-0.18359375,0.013671875,-0.044921875,-0.00390625,-0.25,0,0
1779559124.693972,-0.16015625,-0.18359375,0.013671875,-0.044921875,-0.00390625,-0.265625,0,0
1779559124.701946,-0.099609375,-0.259765625,0.0078125,-0.044921875,-0.00390625,-0.265625,0,0
1779559124.709991,-0.099609375,-0.259765625,0.0078125,-0.044921875,-0.00390625,-0.26953125,0,0
1779559124.717967,-0.025390625,-0.365234375,0.017578125,-0.044921875,-0.00390625,-0.26953125,0,0
1779559124.725957,-0.025390625,-0.365234375,0.017578125,-0.044921875,-0.00390625,-0.265625,0,0
1779559124.734029,-0.025390625,-0.44921875,0.046875,-0.044921875,-0.00390625,-0.265625,0,0
1779559124.742071,-0.025390625,-0.44921875,0.046875,-0.044921875,-0.00390625,-0.26953125,0,0
1779559124.749969,-0.025390625,-0.451171875,0.076171875,-0.044921875,-0.00390625,-0.26953125,0,0
1779559124.757997,-0.025390625,-0.451171875,0.076171875,-0.044921875,0.01171875,-0.259765625,0,0
1779559124.766000,-0.025390625,-0.453125,0.083984375,-0.044921875,0.01171875,-0.259765625,0,0
1779559124.774001,-0.025390625,-0.453125,0.083984375,-0.044921875,0.017578125,-0.259765625,0,0
1779559124.781965,-0.025390625,-0.45703125,0.08984375,-0.044921875,0.017578125,-0.259765625,0,0
1779559124.789989,-0.025390625,-0.45703125,0.08984375,-0.044921875,0.01953125,-0.259765625,0,0
1779559124.797995,-0.025390625,-0.458984375,0.091796875,-0.044921875,0.01953125,-0.259765625,0,0
1779559124.805981,-0.025390625,-0.458984375,0.091796875,-0.044921875,0.015625,-0.259765625,0,0
1779559124.813980,-0.013671875,-0.45703125,0.1015625,-0.044921875,0.015625,-0.259765625,0,0
1779559124.821991,-0.013671875,-0.45703125,0.1015625,-0.044921875,0.015625,-0.263671875,0,0
1779559124.829960,-0.029296875,-0.44921875,0.12109375,-0.044921875,0.015625,-0.263671875,0,0
1779559124.837951,-0.029296875,-0.44921875,0.12109375,-0.044921875,0.0234375,-0.271484375,0,0
1779559124.846030,-0.052734375,-0.43359375,0.130859375,-0.044921875,0.0234375,-0.271484375,0,0
1779559124.853974,-0.052734375,-0.43359375,0.130859375,-0.044921875,0.0234375,-0.287109375,0,0
1779559124.861986,-0.07421875,-0.4140625,0.1328125,-0.044921875,0.0234375,-0.287109375,0,0
1779559124.869965,-0.07421875,-0.4140625,0.1328125,-0.044921875,0.01953125,-0.310546875,0,0
1779559124.878007,-0.0859375,-0.40234375,0.125,-0.044921875,0.01953125,-0.310546875,0,0
1779559124.886021,-0.0859375,-0.40234375,0.125,0.0,0.013671875,-0.330078125,0,0
1779559124.894030,-0.09375,-0.384765625,0.126953125,0.0,0.013671875,-0.330078125,0,0
1779559124.901966,-0.09375,-0.384765625,0.126953125,0.013671875,0.013671875,-0.353515625,0,0
1779559124.910013,-0.099609375,-0.37109375,0.130859375,0.013671875,0.013671875,-0.353515625,0,0
1779559124.917993,-0.099609375,-0.37109375,0.130859375,0.017578125,0.01953125,-0.369140625,0,0
1779559124.926050,-0.10546875,-0.357421875,0.134765625,0.017578125,0.01953125,-0.369140625,0,0
1779559124.934000,-0.10546875,-0.357421875,0.134765625,0.01953125,0.0234375,-0.3828125,0,0
1779559124.941999,-0.109375,-0.349609375,0.134765625,0.01953125,0.0234375,-0.3828125,0,0
1779559124.949992,-0.109375,-0.349609375,0.134765625,0.025390625,0.025390625,-0.39453125,0,0
1779559124.958048,-0.111328125,-0.341796875,0.138671875,0.025390625,0.025390625,-0.39453125,0,0
1779559124.966038,-0.111328125,-0.341796875,0.138671875,0.02734375,0.025390625,-0.404296875,0,0
1779559124.973999,-0.115234375,-0.33203125,0.138671875,0.02734375,0.025390625,-0.404296875,0,0
1779559124.982025,-0.115234375,-0.33203125,0.138671875,0.033203125,0.02734375,-0.4140625,0,0
1779559124.990123,-0.1171875,-0.322265625,0.14453125,0.033203125,0.02734375,-0.4140625,0,0
1779559124.997982,-0.1171875,-0.322265625,0.14453125,0.03515625,0.03125,-0.427734375,0,0
1779559125.005986,-0.1171875,-0.3046875,0.1484375,0.03515625,0.03125,-0.427734375,0,0
