ts,vx,vy,vz,wx,wy,wz,gripper_btn,mode_btn
1779556970.503208,0.021484375,-0.005859375,-0.00390625,0.236328125,0.013671875,0.0,0,0
1779556970.519188,0.021484375,-0.01953125,-0.00390625,0.236328125,0.013671875,0.0,0,0
1779556970.535200,0.021484375,-0.03125,-0.00390625,0.236328125,0.013671875,0.0,0,0
1779556970.551256,0.021484375,-0.052734375,-0.00390625,0.236328125,0.013671875,0.0,0,0
1779556970.567169,-0.017578125,-0.06640625,-0.00390625,0.236328125,0.013671875,0.0,0,0
1779556970.575176,-0.017578125,-0.06640625,-0.00390625,0.236328125,0.013671875,0.0,0,0
1779556970.583218,-0.037109375,-0.115234375,-0.021484375,0.236328125,0.013671875,0.0,0,0
1779556970.591225,-0.037109375,-0.115234375,-0.021484375,0.236328125,0.0,0.0234375,0,0
1779556970.599224,-0.041015625,-0.17578125,-0.033203125,0.236328125,0.0,0.0234375,0,0
1779556970.607164,-0.041015625,-0.17578125,-0.033203125,0.236328125,0.0,0.03515625,0,0
1779556970.615231,-0.029296875,-0.228515625,-0.048828125,0.236328125,0.0,0.03515625,0,0
1779556970.623192,-0.029296875,-0.228515625,-0.048828125,0.236328125,0.0,0.03515625,0,0
1779556970.631191,-0.005859375,-0.2890625,-0.064453125,0.236328125,0.0,0.03515625,0,0
1779556970.639147,-0.005859375,-0.2890625,-0.064453125,0.236328125,0.0,0.025390625,0,0
1779556970.647253,-0.005859375,-0.33984375,-0.072265625,0.236328125,0.0,0.025390625,0,0
1779556970.655146,-0.005859375,-0.33984375,-0.072265625,0.236328125,0.0,0.00390625,0,0
1779556970.663150,-0.005859375,-0.376953125,-0.03125,0.236328125,0.0,0.00390625,0,0
1779556970.671136,-0.005859375,-0.376953125,-0.03125,0.017578125,0.01953125,0.00390625,0,0
1779556970.679213,-0.005859375,-0.412109375,-0.021484375,0.017578125,0.01953125,0.00390625,0,0
1779556970.687212,-0.005859375,-0.412109375,-0.021484375,0.046875,0.017578125,0.00390625,0,0
1779556970.695203,-0.005859375,-0.447265625,-0.0390625,0.046875,0.017578125,0.00390625,0,0
1779556970.703215,-0.005859375,-0.447265625,-0.0390625,0.05078125,0.013671875,0.00390625,0,0
1779556970.711197,-0.005859375,-0.501953125,-0.046875,0.05078125,0.013671875,0.00390625,0,0
1779556970.719163,-0.005859375,-0.501953125,-0.046875,0.0625,0.01171875,0.00390625,0,0
1779556970.727175,-0.005859375,-0.55078125,-0.03125,0.0625,0.01171875,0.00390625,0,0
1779556970.735194,-0.005859375,-0.55078125,-0.03125,0.087890625,0.013671875,-0.005859375,0,0
1779556970.743140,-0.005859375,-0.58203125,-0.03125,0.087890625,0.013671875,-0.005859375,0,0
1779556970.751160,-0.005859375,-0.58203125,-0.03125,0.11328125,0.01953125,-0.0390625,0,0
1779556970.759185,-0.005859375,-0.57421875,-0.03125,0.11328125,0.01953125,-0.0390625,0,0
1779556970.767155,-0.005859375,-0.57421875,-0.03125,0.11328125,0.025390625,-0.056640625,0,0
1779556970.775201,-0.005859375,-0.564453125,-0.03125,0.11328125,0.025390625,-0.056640625,0,0
1779556970.783213,-0.005859375,-0.564453125,-0.03125,0.109375,0.0234375,-0.078125,0,0
1779556970.791185,-0.005859375,-0.5390625,-0.03125,0.109375,0.0234375,-0.078125,0,0
1779556970.799160,-0.005859375,-0.5390625,-0.03125,0.10546875,0.013671875,-0.107421875,0,0
1779556970.807180,-0.005859375,-0.5078125,-0.03125,0.10546875,0.013671875,-0.107421875,0,0
1779556970.815205,-0.005859375,-0.5078125,-0.03125,0.111328125,0.013671875,-0.146484375,0,0
1779556970.823185,-0.005859375,-0.46875,-0.03125,0.111328125,0.013671875,-0.146484375,0,0
1779556970.831183,-0.005859375,-0.46875,-0.03125,0.11328125,0.01953125,-0.1875,0,0
1779556970.839180,-0.005859375,-0.435546875,-0.03125,0.11328125,0.01953125,-0.1875,0,0
1779556970.847191,-0.005859375,-0.435546875,-0.03125,0.12109375,0.021484375,-0.224609375,0,0
1779556970.855178,-0.005859375,-0.39453125,-0.03125,0.12109375,0.021484375,-0.224609375,0,0
1779556970.863170,-0.005859375,-0.39453125,-0.03125,0.12890625,0.029296875,-0.265625,0,0
1779556970.871128,-0.00390625,-0.369140625,-0.03125,0.12890625,0.029296875,-0.265625,0,0
1779556970.879438,-0.00390625,-0.369140625,-0.03125,0.1171875,0.029296875,-0.30078125,0,0
1779556970.887253,-0.017578125,-0.33984375,-0.03125,0.1171875,0.029296875,-0.30078125,0,0
1779556970.895228,-0.017578125,-0.33984375,-0.03125,0.109375,0.029296875,-0.345703125,0,0
1779556970.903177,-0.02734375,-0.314453125,-0.03125,0.109375,0.029296875,-0.345703125,0,0
1779556970.911247,-0.02734375,-0.314453125,-0.03125,0.087890625,0.029296875,-0.388671875,0,0
1779556970.919184,-0.03515625,-0.28125,-0.03125,0.087890625,0.029296875,-0.388671875,0,0
1779556970.927235,-0.03515625,-0.28125,-0.03125,0.072265625,0.02734375,-0.439453125,0,0
1779556970.935189,-0.05078125,-0.244140625,-0.03125,0.072265625,0.02734375,-0.439453125,0,0
1779556970.943201,-0.05078125,-0.244140625,-0.03125,0.05859375,0.0234375,-0.4921875,0,0
1779556970.951189,-0.072265625,-0.201171875,-0.03125,0.05859375,0.0234375,-0.4921875,0,0
1779556970.959164,-0.072265625,-0.201171875,-0.03125,0.041015625,0.009765625,-0.5546875,0,0
1779556970.967191,-0.09375,-0.1484375,-0.03125,0.041015625,0.009765625,-0.5546875,0,0
1779556970.975196,-0.09375,-0.1484375,-0.03125,0.02734375,0.009765625,-0.625,0,0
1779556970.983244,-0.056640625,-0.107421875,-0.03125,0.02734375,0.009765625,-0.625,0,0
1779556970.991187,-0.056640625,-0.107421875,-0.03125,0.01953125,0.009765625,-0.66796875,0,0
1779556970.999138,-0.048828125,-0.09765625,-0.03125,0.01953125,0.009765625,-0.66796875,0,0
1779556971.007167,-0.048828125,-0.09765625,-0.03125,0.01953125,0.009765625,-0.67578125,0,0
1779556971.015174,-0.046875,-0.095703125,-0.03125,0.01953125,0.009765625,-0.67578125,0,0
1779556971.023180,-0.046875,-0.095703125,-0.03125,0.021484375,0.009765625,-0.677734375,0,0
1779556971.031199,-0.044921875,-0.091796875,-0.03125,0.021484375,0.009765625,-0.677734375,0,0
1779556971.039182,-0.044921875,-0.091796875,-0.03125,0.01953125,0.009765625,-0.6796875,0,0
1779556971.047188,-0.033203125,-0.08203125,-0.03125,0.01953125,0.009765625,-0.6796875,0,0
1779556971.055185,-0.033203125,-0.08203125,-0.03125,0.015625,0.009765625,-0.68359375,0,0
1779556971.063215,-0.03125,-0.078125,-0.03125,0.015625,0.009765625,-0.68359375,0,0
1779556971.071173,-0.03125,-0.078125,-0.03125,0.013671875,0.009765625,-0.68359375,0,0
1779556971.079173,-0.02734375,-0.07421875,-0.03125,0.013671875,0.009765625,-0.68359375,0,0
1779556971.087184,-0.02734375,-0.07421875,-0.03125,0.01171875,0.009765625,-0.68359375,0,0
1779556971.095181,-0.021484375,-0.072265625,-0.03125,0.01171875,0.009765625,-0.68359375,0,0
1779556971.103216,-0.021484375,-0.072265625,-0.03125,0.01171875,0.009765625,-0.68359375,0,0
1779556971.111145,-0.017578125,-0.0703125,-0.03125,0.01171875,0.009765625,-0.68359375,0,0
1779556971.119195,-0.017578125,-0.0703125,-0.03125,0.009765625,0.009765625,-0.68359375,0,0
1779556971.127204,-0.013671875,-0.064453125,-0.03125,0.009765625,0.009765625,-0.68359375,0,0
1779556971.135192,-0.013671875,-0.064453125,-0.03125,0.0078125,0.009765625,-0.68359375,0,0
1779556971.143187,-0.013671875,-0.064453125,-0.03125,0.0078125,0.009765625,-0.68359375,0,0
1779556971.151208,-0.013671875,-0.064453125,-0.03125,0.0078125,0.009765625,-0.68359375,0,0
1779556971.159220,-0.013671875,-0.064453125,-0.03125,0.0078125,0.009765625,-0.68359375,0,0
1779556971.167176,-0.013671875,-0.064453125,-0.03125,0.0078125,0.009765625,-0.68359375,0,0
1779556971.175191,-0.013671875,-0.064453125,-0.03125,0.0078125,0.009765625,-0.68359375,0,0
1779556971.183187,-0.013671875,-0.064453125,-0.03125,0.0078125,0.009765625,-0.68359375,0,0
1779556971.191186,-0.013671875,-0.0625,-0.03125,0.0078125,0.009765625,-0.68359375,0,0
1779556971.199209,-0.013671875,-0.0625,-0.03125,0.005859375,0.009765625,-0.68359375,0,0
1779556971.207163,-0.013671875,-0.0625,-0.03125,0.005859375,0.009765625,-0.68359375,0,0
1779556971.215199,-0.013671875,-0.0625,-0.03125,0.0078125,0.009765625,-0.68359375,0,0
1779556971.223206,-0.01171875,-0.060546875,-0.03125,0.0078125,0.009765625,-0.68359375,0,0
1779556971.231200,-0.01171875,-0.060546875,-0.03125,0.005859375,0.009765625,-0.68359375,0,0
1779556971.239189,-0.01171875,-0.05859375,-0.03125,0.005859375,0.009765625,-0.68359375,0,0
1779556971.247207,-0.01171875,-0.05859375,-0.03125,0.005859375,0.009765625,-0.68359375,0,0
1779556971.255167,-0.01171875,-0.056640625,-0.03125,0.005859375,0.009765625,-0.68359375,0,0
1779556971.263185,-0.01171875,-0.056640625,-0.03125,0.005859375,0.009765625,-0.68359375,0,0
1779556971.271181,-0.009765625,-0.056640625,-0.03125,0.005859375,0.009765625,-0.68359375,0,0
1779556971.279215,-0.009765625,-0.056640625,-0.03125,0.0078125,0.009765625,-0.68359375,0,0
1779556971.287182,-0.009765625,-0.056640625,-0.03125,0.0078125,0.009765625,-0.68359375,0,0
1779556971.295181,-0.009765625,-0.056640625,-0.03125,0.0078125,0.009765625,-0.68359375,0,0
1779556971.303197,-0.009765625,-0.056640625,-0.03125,0.0078125,0.009765625,-0.68359375,0,0
1779556971.311191,-0.009765625,-0.056640625,-0.03125,0.0078125,0.009765625,-0.68359375,0,0
1779556971.319240,-0.009765625,-0.056640625,-0.03125,0.0078125,0.009765625,-0.68359375,0,0
1779556971.327217,-0.009765625,-0.056640625,-0.03125,0.0078125,0.009765625,-0.68359375,0,0
1779556971.335264,-0.0078125,-0.056640625,-0.03125,0.0078125,0.009765625,-0.68359375,0,0
1779556971.343246,-0.0078125,-0.056640625,-0.03125,0.009765625,0.009765625,-0.68359375,0,0
1779556971.351254,-0.0078125,-0.056640625,-0.03125,0.009765625,0.009765625,-0.68359375,0,0
1779556971.359255,-0.0078125,-0.056640625,-0.03125,0.009765625,0.009765625,-0.68359375,0,0
1779556971.367185,-0.0078125,-0.052734375,-0.03125,0.009765625,0.009765625,-0.68359375,0,0
1779556971.375160,-0.0078125,-0.052734375,-0.03125,0.009765625,0.009765625,-0.68359375,0,0
1779556971.383233,-0.005859375,-0.052734375,-0.03125,0.009765625,0.009765625,-0.68359375,0,0
1779556971.391186,-0.005859375,-0.052734375,-0.03125,0.009765625,0.009765625,-0.68359375,0,0
1779556971.399165,-0.005859375,-0.052734375,-0.03125,0.009765625,0.009765625,-0.68359375,0,0
1779556971.407195,-0.005859375,-0.052734375,-0.03125,0.013671875,0.009765625,-0.68359375,0,0
1779556971.415188,-0.00390625,-0.052734375,-0.03125,0.013671875,0.009765625,-0.68359375,0,0
1779556971.423206,-0.00390625,-0.052734375,-0.03125,0.013671875,0.009765625,-0.68359375,0,0
1779556971.431163,-0.00390625,-0.05078125,-0.03125,0.013671875,0.009765625,-0.68359375,0,0
1779556971.439164,-0.00390625,-0.05078125,-0.03125,0.013671875,0.009765625,-0.68359375,0,0
1779556971.447169,0.0,-0.046875,-0.03125,0.013671875,0.009765625,-0.68359375,0,0
