ts,vx,vy,vz,wx,wy,wz,gripper_btn,mode_btn
1779623440.961301,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623440.992322,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.023307,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.054299,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.085321,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.116318,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.147319,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.178261,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.209303,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.240263,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.271328,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.302293,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.333315,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.364305,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.395316,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.426369,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.457317,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.488231,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.519280,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.550257,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.581254,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.612324,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.643325,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.674281,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.705284,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.736283,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.767321,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.798264,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.829397,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.860289,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.891253,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.922252,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.953278,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623441.984290,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.015301,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.046263,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.077259,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.108271,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.139290,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.170324,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.201298,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.232337,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.263337,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.294256,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.325338,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.356316,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.387431,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.418343,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.449324,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.480348,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.511273,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.542338,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.573331,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.604294,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.635309,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.666258,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.697325,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.728314,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.759264,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.790284,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.821290,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.852267,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.883307,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779623442.914325,0.0,0.0,0.0,0.0,0.0,0.0,0,0
