ts,vx,vy,vz,wx,wy,wz,gripper_btn,mode_btn
1779627557.625471,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627557.656446,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627557.687393,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627557.718382,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627557.749416,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627557.780385,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627557.811459,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627557.842491,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627557.873431,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627557.904423,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627557.935453,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627557.966393,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627557.997335,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.028351,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.059416,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.090434,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.121429,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.152439,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.183428,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.214386,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.245411,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.276435,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.307443,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.338373,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.369389,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.400470,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.431401,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.462380,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.493458,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.524484,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.555465,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.586453,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.617397,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.648397,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.679480,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.710419,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.741398,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.772427,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.803395,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.834428,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.865373,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.896366,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.927475,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.958410,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627558.989387,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.020383,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.051420,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.082457,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.113436,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.144467,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.175466,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.206411,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.237393,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.268469,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.299412,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.330407,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.361378,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.392432,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.423440,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.454429,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.485432,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.516411,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.547397,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.578446,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.609413,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.640448,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.671361,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.702379,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.733408,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.764413,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.795446,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.826391,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.857406,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.888458,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.919397,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.950468,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627559.981494,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.012488,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.043437,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.074408,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.105403,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.136431,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.167459,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.198439,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.229387,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.260422,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.291375,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.322426,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.353450,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.384422,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.415427,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.446401,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.477443,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.508410,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.539376,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.570440,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.601369,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.632422,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.663419,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.694463,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.725391,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.756381,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.787446,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.818414,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.849395,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.880384,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.911465,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.943422,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627560.974395,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627561.005412,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779627561.036384,0.0,0.0,0.0,0.0,0.0,0.0,0,0
