ts,vx,vy,vz,wx,wy,wz,gripper_btn,mode_btn
1779626897.346436,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.377435,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.408428,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.439399,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.470393,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.501368,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.532441,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.563401,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.594431,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.625456,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.656431,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.687415,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.718351,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.749383,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.780404,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.811399,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.842386,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.873396,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.904444,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.935452,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.966415,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626897.997406,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.028432,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.059400,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.090452,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.121428,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.152423,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.183365,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.214436,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.245430,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.276381,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.307384,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.338473,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.369410,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.400404,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.431426,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.462415,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.493410,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.524419,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.555422,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.586425,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.617409,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.648444,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.679391,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.710461,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.741427,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.772416,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.803422,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.834408,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.865396,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.896522,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.927390,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.958426,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626898.989398,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626899.020407,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626899.051425,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626899.082395,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626899.113402,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626899.144394,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626899.175406,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626899.206403,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626899.237401,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626899.268426,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626899.299409,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626899.330401,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1779626899.361405,0.0,0.0,0.0,0.0,0.0,0.0,0,0
